"Time_point","gene","cell_line","guide","replicate","value","biotype"
0,"PPIA.TR1","A549","g1","R1",20.72926,"Protein-coding gene"
6,"PPIA.TR1","A549","g1","R1",22.57621,"Protein-coding gene"
12,"PPIA.TR1","A549","g1","R1",23.6339,"Protein-coding gene"
18,"PPIA.TR1","A549","g1","R1",24.04666,"Protein-coding gene"
24,"PPIA.TR1","A549","g1","R1",23.49044,"Protein-coding gene"
30,"PPIA.TR1","A549","g1","R1",22.44323,"Protein-coding gene"
36,"PPIA.TR1","A549","g1","R1",21.34127,"Protein-coding gene"
42,"PPIA.TR1","A549","g1","R1",20.10025,"Protein-coding gene"
48,"PPIA.TR1","A549","g1","R1",19.21737,"Protein-coding gene"
54,"PPIA.TR1","A549","g1","R1",17.99224,"Protein-coding gene"
60,"PPIA.TR1","A549","g1","R1",15.66589,"Protein-coding gene"
66,"PPIA.TR1","A549","g1","R1",14.42489,"Protein-coding gene"
72,"PPIA.TR1","A549","g1","R1",13.804,"Protein-coding gene"
78,"PPIA.TR1","A549","g1","R1",13.4468,"Protein-coding gene"
84,"PPIA.TR1","A549","g1","R1",13.19375,"Protein-coding gene"
90,"PPIA.TR1","A549","g1","R1",12.85054,"Protein-coding gene"
0,"PPIA.TR1","A549","g1","R2",24.97502,"Protein-coding gene"
6,"PPIA.TR1","A549","g1","R2",27.5994,"Protein-coding gene"
12,"PPIA.TR1","A549","g1","R2",30.23074,"Protein-coding gene"
18,"PPIA.TR1","A549","g1","R2",32.09275,"Protein-coding gene"
24,"PPIA.TR1","A549","g1","R2",33.29906,"Protein-coding gene"
30,"PPIA.TR1","A549","g1","R2",34.02678,"Protein-coding gene"
36,"PPIA.TR1","A549","g1","R2",33.92465,"Protein-coding gene"
42,"PPIA.TR1","A549","g1","R2",33.68457,"Protein-coding gene"
48,"PPIA.TR1","A549","g1","R2",33.02425,"Protein-coding gene"
54,"PPIA.TR1","A549","g1","R2",32.22101,"Protein-coding gene"
60,"PPIA.TR1","A549","g1","R2",31.22239,"Protein-coding gene"
66,"PPIA.TR1","A549","g1","R2",30.20411,"Protein-coding gene"
72,"PPIA.TR1","A549","g1","R2",29.25459,"Protein-coding gene"
78,"PPIA.TR1","A549","g1","R2",28.39096,"Protein-coding gene"
84,"PPIA.TR1","A549","g1","R2",27.9428,"Protein-coding gene"
90,"PPIA.TR1","A549","g1","R2",27.4739,"Protein-coding gene"
0,"PPIA.TR1","A549","g2","R1",28.52691,"Protein-coding gene"
6,"PPIA.TR1","A549","g2","R1",33.94608,"Protein-coding gene"
12,"PPIA.TR1","A549","g2","R1",39.33259,"Protein-coding gene"
18,"PPIA.TR1","A549","g2","R1",44.35723,"Protein-coding gene"
24,"PPIA.TR1","A549","g2","R1",48.10619,"Protein-coding gene"
30,"PPIA.TR1","A549","g2","R1",51.26633,"Protein-coding gene"
36,"PPIA.TR1","A549","g2","R1",54.3976,"Protein-coding gene"
42,"PPIA.TR1","A549","g2","R1",56.96513,"Protein-coding gene"
48,"PPIA.TR1","A549","g2","R1",59.54409,"Protein-coding gene"
54,"PPIA.TR1","A549","g2","R1",61.95386,"Protein-coding gene"
60,"PPIA.TR1","A549","g2","R1",63.84299,"Protein-coding gene"
66,"PPIA.TR1","A549","g2","R1",65.70053,"Protein-coding gene"
72,"PPIA.TR1","A549","g2","R1",66.96473,"Protein-coding gene"
78,"PPIA.TR1","A549","g2","R1",67.68148,"Protein-coding gene"
84,"PPIA.TR1","A549","g2","R1",68.18747,"Protein-coding gene"
90,"PPIA.TR1","A549","g2","R1",67.96983,"Protein-coding gene"
0,"PPIA.TR1","A549","g2","R2",25.75491,"Protein-coding gene"
6,"PPIA.TR1","A549","g2","R2",29.74268,"Protein-coding gene"
12,"PPIA.TR1","A549","g2","R2",34.79137,"Protein-coding gene"
18,"PPIA.TR1","A549","g2","R2",38.38036,"Protein-coding gene"
24,"PPIA.TR1","A549","g2","R2",42.14125,"Protein-coding gene"
30,"PPIA.TR1","A549","g2","R2",45.50474,"Protein-coding gene"
36,"PPIA.TR1","A549","g2","R2",48.75751,"Protein-coding gene"
42,"PPIA.TR1","A549","g2","R2",51.06179,"Protein-coding gene"
48,"PPIA.TR1","A549","g2","R2",53.56763,"Protein-coding gene"
54,"PPIA.TR1","A549","g2","R2",55.71224,"Protein-coding gene"
60,"PPIA.TR1","A549","g2","R2",57.98181,"Protein-coding gene"
66,"PPIA.TR1","A549","g2","R2",60.01875,"Protein-coding gene"
72,"PPIA.TR1","A549","g2","R2",61.21193,"Protein-coding gene"
78,"PPIA.TR1","A549","g2","R2",62.0734,"Protein-coding gene"
84,"PPIA.TR1","A549","g2","R2",62.8148,"Protein-coding gene"
90,"PPIA.TR1","A549","g2","R2",62.91587,"Protein-coding gene"
0,"PPIA.TR1","A549","g3","R1",17.96363,"Protein-coding gene"
6,"PPIA.TR1","A549","g3","R1",18.7185,"Protein-coding gene"
12,"PPIA.TR1","A549","g3","R1",19.23598,"Protein-coding gene"
18,"PPIA.TR1","A549","g3","R1",19.73609,"Protein-coding gene"
24,"PPIA.TR1","A549","g3","R1",20.05643,"Protein-coding gene"
30,"PPIA.TR1","A549","g3","R1",19.55725,"Protein-coding gene"
36,"PPIA.TR1","A549","g3","R1",19.46656,"Protein-coding gene"
42,"PPIA.TR1","A549","g3","R1",19.45261,"Protein-coding gene"
48,"PPIA.TR1","A549","g3","R1",19.28059,"Protein-coding gene"
54,"PPIA.TR1","A549","g3","R1",19.11599,"Protein-coding gene"
60,"PPIA.TR1","A549","g3","R1",18.46907,"Protein-coding gene"
66,"PPIA.TR1","A549","g3","R1",18.38923,"Protein-coding gene"
72,"PPIA.TR1","A549","g3","R1",18.16874,"Protein-coding gene"
78,"PPIA.TR1","A549","g3","R1",17.80794,"Protein-coding gene"
84,"PPIA.TR1","A549","g3","R1",17.64865,"Protein-coding gene"
90,"PPIA.TR1","A549","g3","R1",17.66342,"Protein-coding gene"
0,"PPIA.TR1","A549","g3","R2",14.48503,"Protein-coding gene"
6,"PPIA.TR1","A549","g3","R2",15.20067,"Protein-coding gene"
12,"PPIA.TR1","A549","g3","R2",15.71861,"Protein-coding gene"
18,"PPIA.TR1","A549","g3","R2",15.83086,"Protein-coding gene"
24,"PPIA.TR1","A549","g3","R2",15.95309,"Protein-coding gene"
30,"PPIA.TR1","A549","g3","R2",15.89,"Protein-coding gene"
36,"PPIA.TR1","A549","g3","R2",15.72954,"Protein-coding gene"
42,"PPIA.TR1","A549","g3","R2",15.60533,"Protein-coding gene"
48,"PPIA.TR1","A549","g3","R2",15.32378,"Protein-coding gene"
54,"PPIA.TR1","A549","g3","R2",14.90323,"Protein-coding gene"
60,"PPIA.TR1","A549","g3","R2",14.60729,"Protein-coding gene"
