"Time_point","gene","cell_line","guide","replicate","value","biotype"
0,"PPIA.TR1","H1299","g1","R1",17.93631,"Protein-coding gene"
6,"PPIA.TR1","H1299","g1","R1",20.90006,"Protein-coding gene"
12,"PPIA.TR1","H1299","g1","R1",23.93903,"Protein-coding gene"
18,"PPIA.TR1","H1299","g1","R1",25.68537,"Protein-coding gene"
24,"PPIA.TR1","H1299","g1","R1",28.63059,"Protein-coding gene"
30,"PPIA.TR1","H1299","g1","R1",30.87677,"Protein-coding gene"
36,"PPIA.TR1","H1299","g1","R1",32.58142,"Protein-coding gene"
42,"PPIA.TR1","H1299","g1","R1",32.88858,"Protein-coding gene"
48,"PPIA.TR1","H1299","g1","R1",34.3763,"Protein-coding gene"
54,"PPIA.TR1","H1299","g1","R1",35.25275,"Protein-coding gene"
60,"PPIA.TR1","H1299","g1","R1",33.99617,"Protein-coding gene"
66,"PPIA.TR1","H1299","g1","R1",32.17753,"Protein-coding gene"
72,"PPIA.TR1","H1299","g1","R1",32.05836,"Protein-coding gene"
78,"PPIA.TR1","H1299","g1","R1",30.28684,"Protein-coding gene"
84,"PPIA.TR1","H1299","g1","R1",28.17417,"Protein-coding gene"
90,"PPIA.TR1","H1299","g1","R1",26.42395,"Protein-coding gene"
0,"PPIA.TR1","H1299","g1","R2",20.87513,"Protein-coding gene"
6,"PPIA.TR1","H1299","g1","R2",25.48099,"Protein-coding gene"
12,"PPIA.TR1","H1299","g1","R2",30.67876,"Protein-coding gene"
18,"PPIA.TR1","H1299","g1","R2",35.52982,"Protein-coding gene"
24,"PPIA.TR1","H1299","g1","R2",39.38317,"Protein-coding gene"
30,"PPIA.TR1","H1299","g1","R2",43.46422,"Protein-coding gene"
36,"PPIA.TR1","H1299","g1","R2",47.64607,"Protein-coding gene"
42,"PPIA.TR1","H1299","g1","R2",52.08911,"Protein-coding gene"
48,"PPIA.TR1","H1299","g1","R2",56.47087,"Protein-coding gene"
54,"PPIA.TR1","H1299","g1","R2",60.89523,"Protein-coding gene"
60,"PPIA.TR1","H1299","g1","R2",65.35515,"Protein-coding gene"
66,"PPIA.TR1","H1299","g1","R2",70.89727,"Protein-coding gene"
72,"PPIA.TR1","H1299","g1","R2",75.32729,"Protein-coding gene"
78,"PPIA.TR1","H1299","g1","R2",80.01945,"Protein-coding gene"
84,"PPIA.TR1","H1299","g1","R2",84.42982,"Protein-coding gene"
90,"PPIA.TR1","H1299","g1","R2",88.09804,"Protein-coding gene"
0,"PPIA.TR1","H1299","g2","R1",20.92456,"Protein-coding gene"
6,"PPIA.TR1","H1299","g2","R1",27.02449,"Protein-coding gene"
12,"PPIA.TR1","H1299","g2","R1",33.87475,"Protein-coding gene"
18,"PPIA.TR1","H1299","g2","R1",42.57295,"Protein-coding gene"
24,"PPIA.TR1","H1299","g2","R1",52.44972,"Protein-coding gene"
30,"PPIA.TR1","H1299","g2","R1",62.66916,"Protein-coding gene"
36,"PPIA.TR1","H1299","g2","R1",74.11774,"Protein-coding gene"
42,"PPIA.TR1","H1299","g2","R1",83.92558,"Protein-coding gene"
48,"PPIA.TR1","H1299","g2","R1",92.50056,"Protein-coding gene"
54,"PPIA.TR1","H1299","g2","R1",96.73637,"Protein-coding gene"
60,"PPIA.TR1","H1299","g2","R1",98.6148,"Protein-coding gene"
66,"PPIA.TR1","H1299","g2","R1",99.81197,"Protein-coding gene"
72,"PPIA.TR1","H1299","g2","R1",99.99797,"Protein-coding gene"
78,"PPIA.TR1","H1299","g2","R1",99.99873,"Protein-coding gene"
84,"PPIA.TR1","H1299","g2","R1",99.9999,"Protein-coding gene"
90,"PPIA.TR1","H1299","g2","R1",100,"Protein-coding gene"
0,"PPIA.TR1","H1299","g2","R2",16.9563,"Protein-coding gene"
6,"PPIA.TR1","H1299","g2","R2",21.82889,"Protein-coding gene"
12,"PPIA.TR1","H1299","g2","R2",27.07502,"Protein-coding gene"
18,"PPIA.TR1","H1299","g2","R2",34.60056,"Protein-coding gene"
24,"PPIA.TR1","H1299","g2","R2",42.46408,"Protein-coding gene"
30,"PPIA.TR1","H1299","g2","R2",51.06739,"Protein-coding gene"
36,"PPIA.TR1","H1299","g2","R2",61.55043,"Protein-coding gene"
42,"PPIA.TR1","H1299","g2","R2",72.79797,"Protein-coding gene"
48,"PPIA.TR1","H1299","g2","R2",82.11171,"Protein-coding gene"
54,"PPIA.TR1","H1299","g2","R2",89.70561,"Protein-coding gene"
60,"PPIA.TR1","H1299","g2","R2",94.94985,"Protein-coding gene"
66,"PPIA.TR1","H1299","g2","R2",97.53949,"Protein-coding gene"
72,"PPIA.TR1","H1299","g2","R2",98.85442,"Protein-coding gene"
78,"PPIA.TR1","H1299","g2","R2",99.65081,"Protein-coding gene"
84,"PPIA.TR1","H1299","g2","R2",99.96971,"Protein-coding gene"
90,"PPIA.TR1","H1299","g2","R2",99.99658,"Protein-coding gene"
0,"PPIA.TR1","H1299","g3","R1",18.56596,"Protein-coding gene"
6,"PPIA.TR1","H1299","g3","R1",21.49615,"Protein-coding gene"
12,"PPIA.TR1","H1299","g3","R1",23.95101,"Protein-coding gene"
18,"PPIA.TR1","H1299","g3","R1",26.81775,"Protein-coding gene"
24,"PPIA.TR1","H1299","g3","R1",30.00483,"Protein-coding gene"
30,"PPIA.TR1","H1299","g3","R1",32.80873,"Protein-coding gene"
36,"PPIA.TR1","H1299","g3","R1",35.3285,"Protein-coding gene"
42,"PPIA.TR1","H1299","g3","R1",39.16767,"Protein-coding gene"
48,"PPIA.TR1","H1299","g3","R1",43.17057,"Protein-coding gene"
54,"PPIA.TR1","H1299","g3","R1",47.49469,"Protein-coding gene"
60,"PPIA.TR1","H1299","g3","R1",52.12631,"Protein-coding gene"
66,"PPIA.TR1","H1299","g3","R1",58.94101,"Protein-coding gene"
72,"PPIA.TR1","H1299","g3","R1",65.99927,"Protein-coding gene"
78,"PPIA.TR1","H1299","g3","R1",72.20575,"Protein-coding gene"
84,"PPIA.TR1","H1299","g3","R1",79.24613,"Protein-coding gene"
90,"PPIA.TR1","H1299","g3","R1",85.65926,"Protein-coding gene"
0,"PPIA.TR1","H1299","g3","R2",18.46842,"Protein-coding gene"
6,"PPIA.TR1","H1299","g3","R2",21.20573,"Protein-coding gene"
12,"PPIA.TR1","H1299","g3","R2",24.07966,"Protein-coding gene"
18,"PPIA.TR1","H1299","g3","R2",26.16976,"Protein-coding gene"
24,"PPIA.TR1","H1299","g3","R2",29.0003,"Protein-coding gene"
30,"PPIA.TR1","H1299","g3","R2",31.33272,"Protein-coding gene"
36,"PPIA.TR1","H1299","g3","R2",33.73511,"Protein-coding gene"
42,"PPIA.TR1","H1299","g3","R2",36.68008,"Protein-coding gene"
48,"PPIA.TR1","H1299","g3","R2",40.36865,"Protein-coding gene"
54,"PPIA.TR1","H1299","g3","R2",43.97655,"Protein-coding gene"
60,"PPIA.TR1","H1299","g3","R2",48.7284,"Protein-coding gene"
66,"PPIA.TR1","H1299","g3","R2",53.54498,"Protein-coding gene"
72,"PPIA.TR1","H1299","g3","R2",59.95984,"Protein-coding gene"
78,"PPIA.TR1","H1299","g3","R2",66.8051,"Protein-coding gene"
84,"PPIA.TR1","H1299","g3","R2",72.26026,"Protein-coding gene"
90,"PPIA.TR1","H1299","g3","R2",78.34986,"Protein-coding gene"
0,"RPS16","H1299","g1","R1",18.26587,"CEG"
6,"RPS16","H1299","g1","R1",22.17304,"CEG"
12,"RPS16","H1299","g1","R1",26.44485,"CEG"
18,"RPS16","H1299","g1","R1",31.58879,"CEG"
24,"RPS16","H1299","g1","R1",36.62029,"CEG"
30,"RPS16","H1299","g1","R1",41.45216,"CEG"
36,"RPS16","H1299","g1","R1",47.30665,"CEG"
42,"RPS16","H1299","g1","R1",53.6464,"CEG"
48,"RPS16","H1299","g1","R1",61.59238,"CEG"
54,"RPS16","H1299","g1","R1",69.2066,"CEG"
60,"RPS16","H1299","g1","R1",77.28099,"CEG"
66,"RPS16","H1299","g1","R1",84.21924,"CEG"
72,"RPS16","H1299","g1","R1",90.58607,"CEG"
78,"RPS16","H1299","g1","R1",95.03752,"CEG"
84,"RPS16","H1299","g1","R1",97.49127,"CEG"
90,"RPS16","H1299","g1","R1",98.77602,"CEG"
0,"RPS16","H1299","g1","R2",16.44729,"CEG"
6,"RPS16","H1299","g1","R2",19.95998,"CEG"
12,"RPS16","H1299","g1","R2",23.99467,"CEG"
18,"RPS16","H1299","g1","R2",28.53802,"CEG"
24,"RPS16","H1299","g1","R2",32.61273,"CEG"
30,"RPS16","H1299","g1","R2",37.19846,"CEG"
36,"RPS16","H1299","g1","R2",42.65705,"CEG"
42,"RPS16","H1299","g1","R2",47.90881,"CEG"
48,"RPS16","H1299","g1","R2",53.94924,"CEG"
54,"RPS16","H1299","g1","R2",60.95367,"CEG"
60,"RPS16","H1299","g1","R2",68.1482,"CEG"
66,"RPS16","H1299","g1","R2",75.31014,"CEG"
72,"RPS16","H1299","g1","R2",81.53114,"CEG"
78,"RPS16","H1299","g1","R2",86.86245,"CEG"
84,"RPS16","H1299","g1","R2",91.13276,"CEG"
90,"RPS16","H1299","g1","R2",94.41035,"CEG"
0,"RPS16","H1299","g2","R1",15.91995,"CEG"
6,"RPS16","H1299","g2","R1",18.59657,"CEG"
12,"RPS16","H1299","g2","R1",21.58782,"CEG"
18,"RPS16","H1299","g2","R1",24.11686,"CEG"
24,"RPS16","H1299","g2","R1",27.26962,"CEG"
30,"RPS16","H1299","g2","R1",30.56198,"CEG"
36,"RPS16","H1299","g2","R1",34.05707,"CEG"
42,"RPS16","H1299","g2","R1",38.09191,"CEG"
48,"RPS16","H1299","g2","R1",43.04726,"CEG"
54,"RPS16","H1299","g2","R1",47.62588,"CEG"
60,"RPS16","H1299","g2","R1",54.39004,"CEG"
66,"RPS16","H1299","g2","R1",61.50986,"CEG"
72,"RPS16","H1299","g2","R1",67.99493,"CEG"
78,"RPS16","H1299","g2","R1",74.72241,"CEG"
84,"RPS16","H1299","g2","R1",81.1506,"CEG"
90,"RPS16","H1299","g2","R1",85.19883,"CEG"
0,"RPS16","H1299","g2","R2",17.91599,"CEG"
6,"RPS16","H1299","g2","R2",20.92755,"CEG"
12,"RPS16","H1299","g2","R2",24.5129,"CEG"
18,"RPS16","H1299","g2","R2",27.26303,"CEG"
24,"RPS16","H1299","g2","R2",30.75016,"CEG"
30,"RPS16","H1299","g2","R2",34.42251,"CEG"
36,"RPS16","H1299","g2","R2",38.07704,"CEG"
42,"RPS16","H1299","g2","R2",42.5484,"CEG"
48,"RPS16","H1299","g2","R2",46.8701,"CEG"
54,"RPS16","H1299","g2","R2",52.23699,"CEG"
60,"RPS16","H1299","g2","R2",59.14148,"CEG"
66,"RPS16","H1299","g2","R2",66.06636,"CEG"
72,"RPS16","H1299","g2","R2",73.0144,"CEG"
78,"RPS16","H1299","g2","R2",79.9669,"CEG"
84,"RPS16","H1299","g2","R2",85.65006,"CEG"
90,"RPS16","H1299","g2","R2",89.84013,"CEG"
0,"RPS16","H1299","g3","R1",17.58707,"CEG"
6,"RPS16","H1299","g3","R1",19.96369,"CEG"
12,"RPS16","H1299","g3","R1",23.47296,"CEG"
18,"RPS16","H1299","g3","R1",26.58718,"CEG"
24,"RPS16","H1299","g3","R1",29.80573,"CEG"
30,"RPS16","H1299","g3","R1",32.80698,"CEG"
36,"RPS16","H1299","g3","R1",35.67905,"CEG"
42,"RPS16","H1299","g3","R1",38.65557,"CEG"
48,"RPS16","H1299","g3","R1",41.64225,"CEG"
54,"RPS16","H1299","g3","R1",44.47166,"CEG"
60,"RPS16","H1299","g3","R1",47.80198,"CEG"
66,"RPS16","H1299","g3","R1",50.05856,"CEG"
72,"RPS16","H1299","g3","R1",52.86428,"CEG"
78,"RPS16","H1299","g3","R1",54.35219,"CEG"
84,"RPS16","H1299","g3","R1",56.20563,"CEG"
90,"RPS16","H1299","g3","R1",54.71387,"CEG"
0,"RPS16","H1299","g3","R2",19.99674,"CEG"
6,"RPS16","H1299","g3","R2",23.70117,"CEG"
12,"RPS16","H1299","g3","R2",27.46302,"CEG"
