"Time_point","gene","cell_line","guide","replicate","value","biotype"
0,"PPIA.TR1","A549","g1","R1",0.5026636,"Protein-coding gene"
6,"PPIA.TR1","A549","g1","R1",0.7738798,"Protein-coding gene"
12,"PPIA.TR1","A549","g1","R1",1,"Protein-coding gene"
18,"PPIA.TR1","A549","g1","R1",1.148378,"Protein-coding gene"
24,"PPIA.TR1","A549","g1","R1",1.214408,"Protein-coding gene"
30,"PPIA.TR1","A549","g1","R1",1.223777,"Protein-coding gene"
36,"PPIA.TR1","A549","g1","R1",1.208014,"Protein-coding gene"
42,"PPIA.TR1","A549","g1","R1",1.217616,"Protein-coding gene"
48,"PPIA.TR1","A549","g1","R1",1.185426,"Protein-coding gene"
54,"PPIA.TR1","A549","g1","R1",1.19786,"Protein-coding gene"
60,"PPIA.TR1","A549","g1","R1",1.310191,"Protein-coding gene"
66,"PPIA.TR1","A549","g1","R1",1.395335,"Protein-coding gene"
72,"PPIA.TR1","A549","g1","R1",1.391411,"Protein-coding gene"
78,"PPIA.TR1","A549","g1","R1",1.382186,"Protein-coding gene"
84,"PPIA.TR1","A549","g1","R1",1.391848,"Protein-coding gene"
90,"PPIA.TR1","A549","g1","R1",1.491288,"Protein-coding gene"
0,"PPIA.TR1","A549","g1","R2",0.4738087,"Protein-coding gene"
6,"PPIA.TR1","A549","g1","R2",0.7611574,"Protein-coding gene"
12,"PPIA.TR1","A549","g1","R2",1,"Protein-coding gene"
18,"PPIA.TR1","A549","g1","R2",1.1918,"Protein-coding gene"
24,"PPIA.TR1","A549","g1","R2",1.2963,"Protein-coding gene"
30,"PPIA.TR1","A549","g1","R2",1.366197,"Protein-coding gene"
36,"PPIA.TR1","A549","g1","R2",1.416365,"Protein-coding gene"
42,"PPIA.TR1","A549","g1","R2",1.411845,"Protein-coding gene"
48,"PPIA.TR1","A549","g1","R2",1.39311,"Protein-coding gene"
54,"PPIA.TR1","A549","g1","R2",1.397339,"Protein-coding gene"
60,"PPIA.TR1","A549","g1","R2",1.37107,"Protein-coding gene"
66,"PPIA.TR1","A549","g1","R2",1.320018,"Protein-coding gene"
72,"PPIA.TR1","A549","g1","R2",1.309536,"Protein-coding gene"
78,"PPIA.TR1","A549","g1","R2",1.308236,"Protein-coding gene"
84,"PPIA.TR1","A549","g1","R2",1.320721,"Protein-coding gene"
90,"PPIA.TR1","A549","g1","R2",1.295227,"Protein-coding gene"
0,"PPIA.TR1","A549","g2","R1",0.3909921,"Protein-coding gene"
6,"PPIA.TR1","A549","g2","R1",0.6926332,"Protein-coding gene"
12,"PPIA.TR1","A549","g2","R1",1,"Protein-coding gene"
18,"PPIA.TR1","A549","g2","R1",1.257237,"Protein-coding gene"
24,"PPIA.TR1","A549","g2","R1",1.524169,"Protein-coding gene"
30,"PPIA.TR1","A549","g2","R1",1.733751,"Protein-coding gene"
36,"PPIA.TR1","A549","g2","R1",1.925892,"Protein-coding gene"
42,"PPIA.TR1","A549","g2","R1",2.044345,"Protein-coding gene"
48,"PPIA.TR1","A549","g2","R1",2.184128,"Protein-coding gene"
54,"PPIA.TR1","A549","g2","R1",2.213047,"Protein-coding gene"
60,"PPIA.TR1","A549","g2","R1",2.303986,"Protein-coding gene"
66,"PPIA.TR1","A549","g2","R1",2.333353,"Protein-coding gene"
72,"PPIA.TR1","A549","g2","R1",2.40957,"Protein-coding gene"
78,"PPIA.TR1","A549","g2","R1",2.421504,"Protein-coding gene"
84,"PPIA.TR1","A549","g2","R1",2.413744,"Protein-coding gene"
90,"PPIA.TR1","A549","g2","R1",2.426111,"Protein-coding gene"
0,"PPIA.TR1","A549","g2","R2",0.3551733,"Protein-coding gene"
6,"PPIA.TR1","A549","g2","R2",0.6722568,"Protein-coding gene"
12,"PPIA.TR1","A549","g2","R2",1,"Protein-coding gene"
18,"PPIA.TR1","A549","g2","R2",1.260674,"Protein-coding gene"
24,"PPIA.TR1","A549","g2","R2",1.460151,"Protein-coding gene"
30,"PPIA.TR1","A549","g2","R2",1.658089,"Protein-coding gene"
36,"PPIA.TR1","A549","g2","R2",1.773923,"Protein-coding gene"
42,"PPIA.TR1","A549","g2","R2",1.91812,"Protein-coding gene"
48,"PPIA.TR1","A549","g2","R2",2.003427,"Protein-coding gene"
54,"PPIA.TR1","A549","g2","R2",2.094009,"Protein-coding gene"
60,"PPIA.TR1","A549","g2","R2",2.136231,"Protein-coding gene"
66,"PPIA.TR1","A549","g2","R2",2.176464,"Protein-coding gene"
72,"PPIA.TR1","A549","g2","R2",2.223235,"Protein-coding gene"
78,"PPIA.TR1","A549","g2","R2",2.243908,"Protein-coding gene"
84,"PPIA.TR1","A549","g2","R2",2.253819,"Protein-coding gene"
90,"PPIA.TR1","A549","g2","R2",2.278527,"Protein-coding gene"
0,"PPIA.TR1","A549","g3","R1",0.4793699,"Protein-coding gene"
6,"PPIA.TR1","A549","g3","R1",0.7477768,"Protein-coding gene"
12,"PPIA.TR1","A549","g3","R1",1,"Protein-coding gene"
18,"PPIA.TR1","A549","g3","R1",1.216271,"Protein-coding gene"
24,"PPIA.TR1","A549","g3","R1",1.374207,"Protein-coding gene"
30,"PPIA.TR1","A549","g3","R1",1.451631,"Protein-coding gene"
36,"PPIA.TR1","A549","g3","R1",1.463053,"Protein-coding gene"
42,"PPIA.TR1","A549","g3","R1",1.529818,"Protein-coding gene"
48,"PPIA.TR1","A549","g3","R1",1.553703,"Protein-coding gene"
54,"PPIA.TR1","A549","g3","R1",1.57569,"Protein-coding gene"
60,"PPIA.TR1","A549","g3","R1",1.60931,"Protein-coding gene"
66,"PPIA.TR1","A549","g3","R1",1.589439,"Protein-coding gene"
72,"PPIA.TR1","A549","g3","R1",1.604836,"Protein-coding gene"
78,"PPIA.TR1","A549","g3","R1",1.553821,"Protein-coding gene"
84,"PPIA.TR1","A549","g3","R1",1.537745,"Protein-coding gene"
90,"PPIA.TR1","A549","g3","R1",1.56563,"Protein-coding gene"
0,"PPIA.TR1","A549","g3","R2",0.5151107,"Protein-coding gene"
6,"PPIA.TR1","A549","g3","R2",0.7807263,"Protein-coding gene"
