"Time_point","gene","cell_line","guide","replicate","value","biotype"
0,"PPIA.TR1","H1299","g1","R1",0.5996287,"Protein-coding gene"
6,"PPIA.TR1","H1299","g1","R1",0.7117863,"Protein-coding gene"
12,"PPIA.TR1","H1299","g1","R1",1,"Protein-coding gene"
18,"PPIA.TR1","H1299","g1","R1",1.167048,"Protein-coding gene"
24,"PPIA.TR1","H1299","g1","R1",1.486521,"Protein-coding gene"
30,"PPIA.TR1","H1299","g1","R1",1.641493,"Protein-coding gene"
36,"PPIA.TR1","H1299","g1","R1",1.743311,"Protein-coding gene"
42,"PPIA.TR1","H1299","g1","R1",1.768924,"Protein-coding gene"
48,"PPIA.TR1","H1299","g1","R1",1.852744,"Protein-coding gene"
54,"PPIA.TR1","H1299","g1","R1",1.80312,"Protein-coding gene"
60,"PPIA.TR1","H1299","g1","R1",1.818437,"Protein-coding gene"
66,"PPIA.TR1","H1299","g1","R1",1.942077,"Protein-coding gene"
72,"PPIA.TR1","H1299","g1","R1",2.133203,"Protein-coding gene"
78,"PPIA.TR1","H1299","g1","R1",2.255358,"Protein-coding gene"
84,"PPIA.TR1","H1299","g1","R1",2.544213,"Protein-coding gene"
90,"PPIA.TR1","H1299","g1","R1",2.847521,"Protein-coding gene"
0,"PPIA.TR1","H1299","g1","R2",0.5010175,"Protein-coding gene"
6,"PPIA.TR1","H1299","g1","R2",0.7423012,"Protein-coding gene"
12,"PPIA.TR1","H1299","g1","R2",1,"Protein-coding gene"
18,"PPIA.TR1","H1299","g1","R2",1.241976,"Protein-coding gene"
24,"PPIA.TR1","H1299","g1","R2",1.538015,"Protein-coding gene"
30,"PPIA.TR1","H1299","g1","R2",1.679385,"Protein-coding gene"
36,"PPIA.TR1","H1299","g1","R2",1.840474,"Protein-coding gene"
42,"PPIA.TR1","H1299","g1","R2",1.991372,"Protein-coding gene"
48,"PPIA.TR1","H1299","g1","R2",2.125322,"Protein-coding gene"
54,"PPIA.TR1","H1299","g1","R2",2.169454,"Protein-coding gene"
60,"PPIA.TR1","H1299","g1","R2",2.297518,"Protein-coding gene"
66,"PPIA.TR1","H1299","g1","R2",2.390392,"Protein-coding gene"
72,"PPIA.TR1","H1299","g1","R2",2.425368,"Protein-coding gene"
78,"PPIA.TR1","H1299","g1","R2",2.491217,"Protein-coding gene"
84,"PPIA.TR1","H1299","g1","R2",2.510941,"Protein-coding gene"
90,"PPIA.TR1","H1299","g1","R2",2.571363,"Protein-coding gene"
0,"PPIA.TR1","H1299","g2","R1",0.4878681,"Protein-coding gene"
6,"PPIA.TR1","H1299","g2","R1",0.6899987,"Protein-coding gene"
12,"PPIA.TR1","H1299","g2","R1",1,"Protein-coding gene"
18,"PPIA.TR1","H1299","g2","R1",1.359137,"Protein-coding gene"
